,Run ID,Person ID,Time of Infection (Mins),Datetime of Sim Start,Datetime of When Infected,Datetime if Sim End
99,2,99,0.97,03/06/2021 13:28:01,03/06/2021 13:29:00,03/06/2021 13:29:01
0,3,0,N/A,03/06/2021 13:29:02,N/A,03/06/2021 13:30:02
1,3,1,N/A,03/06/2021 13:29:02,N/A,03/06/2021 13:30:02
2,3,2,N/A,03/06/2021 13:29:02,N/A,03/06/2021 13:30:02
3,3,3,N/A,03/06/2021 13:29:02,N/A,03/06/2021 13:30:02
4,3,4,0.55,03/06/2021 13:29:02,03/06/2021 13:29:35,03/06/2021 13:30:02
5,3,5,0.37,03/06/2021 13:29:02,03/06/2021 13:29:24,03/06/2021 13:30:02
6,3,6,N/A,03/06/2021 13:29:02,N/A,03/06/2021 13:30:02
7,3,7,0.13,03/06/2021 13:29:02,03/06/2021 13:29:10,03/06/2021 13:30:02
8,3,8,N/A,03/06/2021 13:29:02,N/A,03/06/2021 13:30:02
9,3,9,1.0,03/06/2021 13:29:02,03/06/2021 13:30:02,03/06/2021 13:30:02
10,3,10,N/A,03/06/2021 13:29:02,N/A,03/06/2021 13:30:02
11,3,11,0.53,03/06/2021 13:29:02,03/06/2021 13:29:33,03/06/2021 13:30:02
12,3,12,0.74,03/06/2021 13:29:02,03/06/2021 13:29:46,03/06/2021 13:30:02
13,3,13,N/A,03/06/2021 13:29:02,N/A,03/06/2021 13:30:02
14,3,14,0.65,03/06/2021 13:29:02,03/06/2021 13:29:41,03/06/2021 13:30:02
15,3,15,N/A,03/06/2021 13:29:02,N/A,03/06/2021 13:30:02
16,3,16,0.24,03/06/2021 13:29:02,03/06/2021 13:29:16,03/06/2021 13:30:02
17,3,17,N/A,03/06/2021 13:29:02,N/A,03/06/2021 13:30:02
18,3,18,N/A,03/06/2021 13:29:02,N/A,03/06/2021 13:30:02
